German,English
der,the
und,and
sein,to be
in,in
ein,a
haben,to have
ich,I
werden,to become
sie,she/they
von,from
nicht,not
mit,with
es,it
sich,oneself
auch,also
auf,on
für,for
an,at
er,he
so,so
dass,that
können,can
dies,this
als,than/as
ihr,her/their
ja,yes
wie,how/like
bei,at/near
oder,or
wir,we
aber,but
dann,then
man,one/people
da,there
noch,still/yet
nach,after/to
was,what
all,all
im,in the
mehr,more
machen,to make/do
keine,no/none
müssen,must
über,over/about
nur,only
sagen,to say
wenn,if/when
vor,before/in front
durch,through
geben,to give
viel,much/many
kommen,to come
jetzt,now
sehen,to see
uns,us
weil,because
unter,under
schon,already
bis,until
gehen,to go
lassen,to let/allow
doch,however
ihnen,them
ihre,their
dieser,this
wieder,again
meine,my
ohne,without
deine,your
gut,good
nein,no
etwas,something
würde,would
immer,always
mein,my
am,at the
Zeit,time
nur,just
erste,first
neue,new
lange,long
Tag,day
Leute,people
sehen,to see
Haus,house
Arbeit,work
leben,to live
stehen,to stand
finden,to find
geben,to give
nehmen,to take
denken,to think
sehen,to see
brauchen,to need
fragen,to ask
antworten,to answer
spielen,to play
laufen,to run
bringen,to bring
halten,to hold
beginnen,to begin
enden,to end
schreiben,to write
lesen,to read
sprechen,to speak
hören,to hear
essen,to eat
schlafen,to sleep
fahren,to drive
fliegen,to fly
bleiben,to stay
öffnen,to open
schließen,to close
arbeiten,to work
lernen,to learn
verstehen,to understand
vergessen,to forget
erinnern,to remember
lieben,to love
mögen,to like
sehen,to watch
zeigen,to show
folgen,to follow
sitzen,to sit
liegen,to lie
stehen,to stand
laufen,to walk
rennen,to run
springen,to jump
fallen,to fall
steigen,to climb
schwimmen,to swim
schreiben,to write
lesen,to read
sprechen,to talk
hören,to listen
sehen,to look
fühlen,to feel
denken,to think
wissen,to know
kennen,to know (be familiar)
glauben,to believe
hoffen,to hope
brauchen,to require
arbeiten,to labor
spielen,to perform
lernen,to study
German,English
arbeiten,to work
spielen,to play
lernen,to learn
verstehen,to understand
vergessen,to forget
erinnern,to remember
lieben,to love
mögen,to like
sehen,to watch
zeigen,to show
folgen,to follow
sitzen,to sit
liegen,to lie
stehen,to stand
laufen,to walk
rennen,to run
springen,to jump
fallen,to fall
steigen,to climb
